Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,V2,Stdout,Stderr
12,:,1678618820.806,3.931,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_3.lp.output 6",data/formulae_3/cf_10_2_3.lp.output,6,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   7%|▋         | 78/1050 [00:00<00:01, 779.86it/s]parsing log, completed traces ::  25%|██▍       | 260/1050 [00:00<00:00, 1391.13it/s]parsing log, completed traces ::  41%|████      | 433/1050 [00:00<00:00, 1538.84it/s]parsing log, completed traces ::  60%|█████▉    | 627/1050 [00:00<00:00, 1694.84it/s]parsing log, completed traces ::  78%|███████▊  | 817/1050 [00:00<00:00, 1767.84it/s]parsing log, completed traces ::  95%|█████████▍| 994/1050 [00:00<00:00, 1383.62it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1473.57it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
11,:,1678618820.803,3.963,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_3.lp.output 4",data/formulae_3/cf_10_2_3.lp.output,4,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   3%|▎         | 31/1050 [00:00<00:03, 309.41it/s]parsing log, completed traces ::  22%|██▏       | 235/1050 [00:00<00:00, 1325.45it/s]parsing log, completed traces ::  38%|███▊      | 400/1050 [00:00<00:00, 1471.99it/s]parsing log, completed traces ::  57%|█████▋    | 598/1050 [00:00<00:00, 1671.84it/s]parsing log, completed traces ::  75%|███████▌  | 791/1050 [00:00<00:00, 1762.51it/s]parsing log, completed traces ::  92%|█████████▏| 968/1050 [00:00<00:00, 1315.87it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1409.66it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
1,:,1678618820.763,4.063,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_0.lp.output 2",data/formulae_3/cf_10_2_0.lp.output,2,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   0%|          | 1/1050 [00:00<02:19,  7.54it/s]parsing log, completed traces ::  20%|█▉        | 206/1050 [00:00<00:00, 1066.48it/s]parsing log, completed traces ::  37%|███▋      | 385/1050 [00:00<00:00, 1373.35it/s]parsing log, completed traces ::  55%|█████▌    | 579/1050 [00:00<00:00, 1585.93it/s]parsing log, completed traces ::  74%|███████▎  | 773/1050 [00:00<00:00, 1702.66it/s]parsing log, completed traces ::  90%|█████████ | 948/1050 [00:00<00:00, 1331.95it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1356.05it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
2,:,1678618820.768,4.205,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_0.lp.output 4",data/formulae_3/cf_10_2_0.lp.output,4,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   2%|▏         | 23/1050 [00:00<00:04, 229.43it/s]parsing log, completed traces ::  21%|██        | 220/1050 [00:00<00:00, 1251.71it/s]parsing log, completed traces ::  38%|███▊      | 394/1050 [00:00<00:00, 1468.27it/s]parsing log, completed traces ::  56%|█████▌    | 584/1050 [00:00<00:00, 1636.59it/s]parsing log, completed traces ::  74%|███████▎  | 773/1050 [00:00<00:00, 1719.28it/s]parsing log, completed traces ::  90%|█████████ | 945/1050 [00:00<00:00, 1323.51it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1406.92it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
4,:,1678618820.776,4.210,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_1.lp.output 2",data/formulae_3/cf_10_2_1.lp.output,2,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   0%|          | 1/1050 [00:00<02:53,  6.03it/s]parsing log, completed traces ::  19%|█▉        | 202/1050 [00:00<00:00, 932.47it/s]parsing log, completed traces ::  36%|███▌      | 377/1050 [00:00<00:00, 1256.29it/s]parsing log, completed traces ::  54%|█████▎    | 564/1050 [00:00<00:00, 1475.04it/s]parsing log, completed traces ::  72%|███████▏  | 754/1050 [00:00<00:00, 1618.69it/s]parsing log, completed traces ::  88%|████████▊ | 925/1050 [00:00<00:00, 1249.56it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1264.56it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
9,:,1678618820.796,4.240,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_2.lp.output 6",data/formulae_3/cf_10_2_2.lp.output,6,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   2%|▏         | 26/1050 [00:00<00:03, 259.77it/s]parsing log, completed traces ::  20%|██        | 213/1050 [00:00<00:00, 1205.52it/s]parsing log, completed traces ::  37%|███▋      | 386/1050 [00:00<00:00, 1440.18it/s]parsing log, completed traces ::  55%|█████▍    | 577/1050 [00:00<00:00, 1624.08it/s]parsing log, completed traces ::  73%|███████▎  | 765/1050 [00:00<00:00, 1709.91it/s]parsing log, completed traces ::  89%|████████▉ | 936/1050 [00:00<00:00, 1262.98it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1370.88it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
5,:,1678618820.780,4.286,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_1.lp.output 4",data/formulae_3/cf_10_2_1.lp.output,4,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   0%|          | 1/1050 [00:00<02:25,  7.20it/s]parsing log, completed traces ::  19%|█▉        | 203/1050 [00:00<00:00, 1023.66it/s]parsing log, completed traces ::  36%|███▋      | 381/1050 [00:00<00:00, 1333.78it/s]parsing log, completed traces ::  54%|█████▍    | 572/1050 [00:00<00:00, 1543.19it/s]parsing log, completed traces ::  73%|███████▎  | 763/1050 [00:00<00:00, 1670.09it/s]parsing log, completed traces ::  89%|████████▉ | 936/1050 [00:00<00:00, 1242.71it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1297.64it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
7,:,1678618820.788,4.310,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_2.lp.output 2",data/formulae_3/cf_10_2_2.lp.output,2,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   0%|          | 1/1050 [00:00<02:53,  6.06it/s]parsing log, completed traces ::  18%|█▊        | 192/1050 [00:00<00:00, 888.11it/s]parsing log, completed traces ::  34%|███▍      | 361/1050 [00:00<00:00, 1206.40it/s]parsing log, completed traces ::  51%|█████     | 538/1050 [00:00<00:00, 1405.97it/s]parsing log, completed traces ::  68%|██████▊   | 716/1050 [00:00<00:00, 1531.67it/s]parsing log, completed traces ::  84%|████████▎ | 878/1050 [00:00<00:00, 1098.88it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1178.29it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
8,:,1678618820.792,4.315,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_2.lp.output 4",data/formulae_3/cf_10_2_2.lp.output,4,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   0%|          | 1/1050 [00:00<01:56,  9.04it/s]parsing log, completed traces ::  20%|█▉        | 205/1050 [00:00<00:00, 1152.13it/s]parsing log, completed traces ::  38%|███▊      | 395/1050 [00:00<00:00, 1483.36it/s]parsing log, completed traces ::  57%|█████▋    | 603/1050 [00:00<00:00, 1713.91it/s]parsing log, completed traces ::  77%|███████▋  | 806/1050 [00:00<00:00, 1822.23it/s]parsing log, completed traces ::  94%|█████████▍| 990/1050 [00:00<00:00, 1247.80it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1348.53it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
3,:,1678618820.772,4.340,0,0,0,0,"python3 dd.py data/sepsis.xes data/formulae_3/cf_10_2_0.lp.output 6",data/formulae_3/cf_10_2_0.lp.output,6,,"parsing log, completed traces ::   0%|          | 0/1050 [00:00<?, ?it/s]parsing log, completed traces ::   0%|          | 1/1050 [00:00<01:50,  9.49it/s]parsing log, completed traces ::  17%|█▋        | 177/1050 [00:00<00:00, 1012.14it/s]parsing log, completed traces ::  33%|███▎      | 347/1050 [00:00<00:00, 1320.70it/s]parsing log, completed traces ::  48%|████▊     | 506/1050 [00:00<00:00, 1424.41it/s]parsing log, completed traces ::  65%|██████▍   | 678/1050 [00:00<00:00, 1528.30it/s]parsing log, completed traces ::  82%|████████▏ | 857/1050 [00:00<00:00, 1610.93it/s]parsing log, completed traces ::  97%|█████████▋| 1019/1050 [00:00<00:00, 1132.48it/s]parsing log, completed traces :: 100%|██████████| 1050/1050 [00:00<00:00, 1226.14it/s]
/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:3:50-64: info: atom does not occur in any rule head:
  rejects(C,TID)

/home/ielo/kr2023-clown/cformulae/application/encodings/discriminative_discovery.lp:5:35-49: info: atom does not occur in any rule head:
  rejects(C,TID)

"
